,HDSI_author,year,category_for
115,Jelena Bradic,2016,"['0104 Statistics', '08 Information and Computing Sciences', '15 Commerce, Management, Tourism and Services', '01 Mathematical Sciences']"
116,Jelena Bradic,2017,"['0104 Statistics', '01 Mathematical Sciences']"
117,Jelena Bradic,2018,"['16 Studies in Human Society', '1603 Demography', '0102 Applied Mathematics', '1403 Econometrics', '0104 Statistics', '14 Economics', '01 Mathematical Sciences']"
118,Jelena Bradic,2019,"['0104 Statistics', '01 Mathematical Sciences']"
119,Jelena Bradic,2020,"['16 Studies in Human Society', '1603 Demography', '1403 Econometrics', '0104 Statistics', '14 Economics', '01 Mathematical Sciences']"
120,Jelena Bradic,2021,"['16 Studies in Human Society', '1603 Demography', '0801 Artificial Intelligence and Image Processing', '1403 Econometrics', '0104 Statistics', '14 Economics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
121,Jingbo Shang,2016,"['1112 Oncology and Carcinogenesis', '0801 Artificial Intelligence and Image Processing', '1103 Clinical Sciences', '0802 Computation Theory and Mathematics', '11 Medical and Health Sciences', '08 Information and Computing Sciences']"
122,Jingbo Shang,2017,"['0601 Biochemistry and Cell Biology', '2004 Linguistics', '20 Language, Communication and Culture', '06 Biological Sciences', '0801 Artificial Intelligence and Image Processing', '0806 Information Systems', '08 Information and Computing Sciences']"
123,Jingbo Shang,2018,"['0806 Information Systems', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
124,Jingbo Shang,2019,"['0806 Information Systems', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
125,Jingbo Shang,2020,"['0806 Information Systems', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
126,Jingbo Shang,2021,"['0806 Information Systems', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
127,Lucila Ohno-Machado,2016,"['1101 Medical Biochemistry and Metabolomics', '1112 Oncology and Carcinogenesis', '06 Biological Sciences', '09 Engineering', '1117 Public Health and Health Services', '0804 Data Format', '0604 Genetics', '0801 Artificial Intelligence and Image Processing', '1103 Clinical Sciences', '11 Medical and Health Sciences', '1107 Immunology', '0806 Information Systems', '08 Information and Computing Sciences']"
128,Lucila Ohno-Machado,2017,"['0807 Library and Information Studies', '06 Biological Sciences', '09 Engineering', '0804 Data Format', '0801 Artificial Intelligence and Image Processing', '0604 Genetics', '1117 Public Health and Health Services', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
